총 샘플 수: 55
[epoch 1/3] 배치 반복 시작
  - batch 22: size=1, 파일=1_20240821_gJ5IX1jty3E_[ENG] 카리나의 여름 취향 A-Z까지 다 모았다! l 에스파 l 카리나 ㅣ톡톡 인터뷰_(Vocals)_seg0021.wav, speaker=speaker_001, duration_ms=5000, sample_rate=44100, frames=220500, text_len=50
  - batch 23: size=1, 파일=1_20240821_gJ5IX1jty3E_[ENG] 카리나의 여름 취향 A-Z까지 다 모았다! l 에스파 l 카리나 ㅣ톡톡 인터뷰_(Vocals)_seg0022.wav, speaker=speaker_001, duration_ms=5000, sample_rate=44100, frames=220500, text_len=31
  - batch 24: size=1, 파일=1_20240821_gJ5IX1jty3E_[ENG] 카리나의 여름 취향 A-Z까지 다 모았다! l 에스파 l 카리나 ㅣ톡톡 인터뷰_(Vocals)_seg0023.wav, speaker=speaker_001, duration_ms=5000, sample_rate=44100, frames=220500, text_len=40
  - batch 25: size=1, 파일=1_20240821_gJ5IX1jty3E_[ENG] 카리나의 여름 취향 A-Z까지 다 모았다! l 에스파 l 카리나 ㅣ톡톡 인터뷰_(Vocals)_seg0024.wav, speaker=speaker_001, duration_ms=5000, sample_rate=44100, frames=220500, text_len=19
  - batch 26: size=1, 파일=1_20240821_gJ5IX1jty3E_[ENG] 카리나의 여름 취향 A-Z까지 다 모았다! l 에스파 l 카리나 ㅣ톡톡 인터뷰_(Vocals)_seg0025.wav, speaker=speaker_001, duration_ms=5000, sample_rate=44100, frames=220500, text_len=43
  - batch 27: size=1, 파일=1_20240821_gJ5IX1jty3E_[ENG] 카리나의 여름 취향 A-Z까지 다 모았다! l 에스파 l 카리나 ㅣ톡톡 인터뷰_(Vocals)_seg0026.wav, speaker=speaker_001, duration_ms=5000, sample_rate=44100, frames=220500, text_len=80
  - batch 28: size=1, 파일=1_20240821_gJ5IX1jty3E_[ENG] 카리나의 여름 취향 A-Z까지 다 모았다! l 에스파 l 카리나 ㅣ톡톡 인터뷰_(Vocals)_seg0027.wav, speaker=speaker_001, duration_ms=5000, sample_rate=44100, frames=220500, text_len=59
  - batch 29: size=1, 파일=1_20240821_gJ5IX1jty3E_[ENG] 카리나의 여름 취향 A-Z까지 다 모았다! l 에스파 l 카리나 ㅣ톡톡 인터뷰_(Vocals)_seg0028.wav, speaker=speaker_001, duration_ms=5000, sample_rate=44100, frames=220500, text_len=38
  - batch 30: size=1, 파일=1_20240821_gJ5IX1jty3E_[ENG] 카리나의 여름 취향 A-Z까지 다 모았다! l 에스파 l 카리나 ㅣ톡톡 인터뷰_(Vocals)_seg0029.wav, speaker=speaker_001, duration_ms=5000, sample_rate=44100, frames=220500, text_len=72
  - batch 31: size=1, 파일=1_20240821_gJ5IX1jty3E_[ENG] 카리나의 여름 취향 A-Z까지 다 모았다! l 에스파 l 카리나 ㅣ톡톡 인터뷰_(Vocals)_seg0030.wav, speaker=speaker_001, duration_ms=5000, sample_rate=44100, frames=220500, text_len=54
  - batch 32: size=1, 파일=1_20240821_gJ5IX1jty3E_[ENG] 카리나의 여름 취향 A-Z까지 다 모았다! l 에스파 l 카리나 ㅣ톡톡 인터뷰_(Vocals)_seg0031.wav, speaker=speaker_001, duration_ms=5000, sample_rate=44100, frames=220500, text_len=59
  - batch 33: size=1, 파일=1_20240821_gJ5IX1jty3E_[ENG] 카리나의 여름 취향 A-Z까지 다 모았다! l 에스파 l 카리나 ㅣ톡톡 인터뷰_(Vocals)_seg0032.wav, speaker=speaker_001, duration_ms=5000, sample_rate=44100, frames=220500, text_len=79
  - batch 34: size=1, 파일=1_20240821_gJ5IX1jty3E_[ENG] 카리나의 여름 취향 A-Z까지 다 모았다! l 에스파 l 카리나 ㅣ톡톡 인터뷰_(Vocals)_seg0033.wav, speaker=speaker_001, duration_ms=5000, sample_rate=44100, frames=220500, text_len=67
  - batch 35: size=1, 파일=1_20240821_gJ5IX1jty3E_[ENG] 카리나의 여름 취향 A-Z까지 다 모았다! l 에스파 l 카리나 ㅣ톡톡 인터뷰_(Vocals)_seg0034.wav, speaker=speaker_001, duration_ms=5000, sample_rate=44100, frames=220500, text_len=45
  - batch 36: size=1, 파일=1_20240821_gJ5IX1jty3E_[ENG] 카리나의 여름 취향 A-Z까지 다 모았다! l 에스파 l 카리나 ㅣ톡톡 인터뷰_(Vocals)_seg0035.wav, speaker=speaker_001, duration_ms=5000, sample_rate=44100, frames=220500, text_len=54
  - batch 37: size=1, 파일=1_20240821_gJ5IX1jty3E_[ENG] 카리나의 여름 취향 A-Z까지 다 모았다! l 에스파 l 카리나 ㅣ톡톡 인터뷰_(Vocals)_seg0036.wav, speaker=speaker_001, duration_ms=5000, sample_rate=44100, frames=220500, text_len=63
  - batch 38: size=1, 파일=1_20240821_gJ5IX1jty3E_[ENG] 카리나의 여름 취향 A-Z까지 다 모았다! l 에스파 l 카리나 ㅣ톡톡 인터뷰_(Vocals)_seg0037.wav, speaker=speaker_001, duration_ms=5000, sample_rate=44100, frames=220500, text_len=44
  - batch 39: size=1, 파일=1_20240821_gJ5IX1jty3E_[ENG] 카리나의 여름 취향 A-Z까지 다 모았다! l 에스파 l 카리나 ㅣ톡톡 인터뷰_(Vocals)_seg0038.wav, speaker=speaker_001, duration_ms=5000, sample_rate=44100, frames=220500, text_len=68
  - batch 40: size=1, 파일=1_20240821_gJ5IX1jty3E_[ENG] 카리나의 여름 취향 A-Z까지 다 모았다! l 에스파 l 카리나 ㅣ톡톡 인터뷰_(Vocals)_seg0039.wav, speaker=speaker_001, duration_ms=5000, sample_rate=44100, frames=220500, text_len=71
